Event ID,Paragraph ID,Article ID,Head labels,Relation label,Tail labels,Head text,Relation text,Tail text,Sentence text,Group_relation_label
1,1,1,"treatment, diagnostic procedure",AND,"condition, diagnostic procedure",Flexible endoscopes equipped with video cameras,can be used to view,the upper gastrointestinal tract from pharynx to proximal duodenum and the lower gastrointestinal tract from anus to cecum,Flexible endoscopes equipped with video cameras can be used to view the upper gastrointestinal tract from pharynx to proximal duodenum and the lower gastrointestinal tract from anus to cecum,AND
2,1,1,"treatment, diagnostic procedure",AND,"condition, diagnostic procedure","specialized, longer enteroscopes",can be used to assess,the deeper parts of the jejunum and ileum,"specialized, longer enteroscopes can be used to assess the deeper parts of the jejunum and ileum",AND
3,1,1,"treatment, diagnostic procedure",AND,"treatment, diagnostic procedure",endoscopy,can combine,diagnosis and therapy in one procedure,endoscopy can combine diagnosis and therapy in one procedure,AND
4,1,1,"treatment, diagnostic procedure",IMPLIES,advantage,endoscopy,gives,a significant advantage over studies that provide only imaging,endoscopy gives a significant advantage over studies that provide only imaging,IMPLIES
5,1,1,"treatment, diagnostic procedure",NEGATES,disadvantage,endoscopy,often outweighs,higher cost and need for sedation,endoscopy often outweighs higher cost and need for sedation,NEGATES
6,2,1,"procedure, treatment",IMPLIES,treatment,Endoscopy,generally requires,IV sedation,Endoscopy generally requires IV sedation,IMPLIES
7,2,1,"procedure, treatment",NEGATES,treatment,Anoscopy and sigmoidoscopy,generally require no,sedation,Anoscopy and sigmoidoscopy generally require no sedation,NEGATES
8,2,1,procedure,CAUSES,"complication, risk factor",Endoscopy,complication rate,0.1 to 0.2%,Endoscopy complication rate 0.1 to 0.2%,CAUSES
9,2,1,procedure,CAUSES,"complication, risk factor",Endoscopy,mortality rate,0.03%,Endoscopy mortality rate 0.03%,CAUSES
10,2,1,"medication, treatment",CAUSES,"complication, symptom",Medication,related complications,respiratory depression,Medication related complications respiratory depression,CAUSES
11,2,1,procedure,CAUSES,"complication, symptom",Procedural complications,include,"aspiration, perforation, significant bleeding","Procedural complications include aspiration, perforation, significant bleeding",CAUSES
12,2,1,procedure,CAUSES,"complication, risk factor",Screening or surveillance colonoscopy,complications include,"myocardial infarction, stroke, serious pulmonary events","Screening or surveillance colonoscopy complications include myocardial infarction, stroke, serious pulmonary events",CAUSES
13,2,1,procedure,THRESHOLD,risk factor,Screening or surveillance colonoscopy,complication rate is no higher than,"other low-risk procedures (joint injection, aspiration, lithotripsy, arthroscopy, carpal tunnel or cataract surgery)","Screening or surveillance colonoscopy complication rate is no higher than other low-risk procedures (joint injection, aspiration, lithotripsy, arthroscopy, carpal tunnel or cataract surgery)",THRESHOLD
14,3,1,"Diagnostic Procedure, Treatment",AND,"Sample Collection, Diagnostic Tool",Diagnostic procedures by conventional endoscopy,include,cell and tissue sample collection by brush or biopsy forceps,Diagnostic procedures by conventional endoscopy include cell and tissue sample collection by brush or biopsy forceps,AND
15,3,1,Diagnostic Tool,AND,"Diagnostic Function, Therapeutic Function",Several different types of endoscopes,provide,additional diagnostic and therapeutic functions,Several different types of endoscopes provide additional diagnostic and therapeutic functions,AND
16,3,1,Diagnostic Tool,IMPLIES,Diagnostic Function,Ultrasound-equipped endoscopes,can evaluate,"blood flow or provide imaging of mucosal, submucosal, or extraluminal lesions","Ultrasound-equipped endoscopes can evaluate blood flow or provide imaging of mucosal, submucosal, or extraluminal lesions",IMPLIES
17,3,1,Diagnostic Tool,IMPLIES,Diagnostic Information,Endoscopic ultrasound,can provide information,the depth and extent of lesions,Endoscopic ultrasound can provide information the depth and extent of lesions,IMPLIES
18,3,1,Diagnostic Procedure,IMPLIES,Sample Collection,Fine-needle aspiration,can be done with,endoscopic ultrasound guidance,Fine-needle aspiration can be done with endoscopic ultrasound guidance,IMPLIES
19,4,1,"treatment, procedure",IMPLIES,"assessment, diagnostic procedure",Balloon-assisted enteroscopy,provides additional assessment of,the small intestine beyond push enteroscopy,Balloon-assisted enteroscopy provides additional assessment of the small intestine beyond push enteroscopy,IMPLIES
20,4,1,"treatment, procedure",USES,"medical device, instrument",Balloon-assisted enteroscopy,uses,an endoscope with one or two inflatable balloons attached to an overtube,Balloon-assisted enteroscopy uses an endoscope with one or two inflatable balloons attached to an overtube,USES
21,4,1,"procedure, action",CAUSES,"physical change, anatomical change",Inflation of the balloon,anchors to,the intestinal mucosa,Inflation of the balloon anchors to the intestinal mucosa,CAUSES
22,4,1,"procedure, action",CAUSES,"physical change, anatomical change",Pulling back of the inflated balloon,pulls,the small bowel over the overtube like a sleeve,Pulling back of the inflated balloon pulls the small bowel over the overtube like a sleeve,CAUSES
23,4,1,"procedure, action",CAUSES,"physical change, anatomical change",Pulling back of the inflated balloon,shortens and straightens,the small intestine,Pulling back of the inflated balloon shortens and straightens the small intestine,CAUSES
24,4,1,"procedure, treatment",ENABLES,"procedure, action",Balloon-assisted enteroscopy,enables,examination and potential therapeutic intervention of the entire small intestine,Balloon-assisted enteroscopy enables examination and potential therapeutic intervention of the entire small intestine,IMPLIES
25,5,1,"condition, risk factor",CAUSES,"recommendation, treatment",high risk of colon cancer,is a reason for,screening colonoscopy,high risk of colon cancer is a reason for screening colonoscopy,CAUSES
26,5,1,condition,THRESHOLD,"recommendation, treatment",age ≥ 45,is a threshold for,screening colonoscopy,age ≥ 45 is a threshold for screening colonoscopy,THRESHOLD
27,5,1,condition,CAUSES,recommendation,rising incidence of early-onset colorectal cancer,caused,lowering the recommended screening age from 50 to 45,rising incidence of early-onset colorectal cancer caused lowering the recommended screening age from 50 to 45,CAUSES
28,5,1,condition,NEGATES,recommendation,no risk factors or history of polyps,negates the need for,earlier colonoscopy intervals,no risk factors or history of polyps negates the need for earlier colonoscopy intervals,NEGATES
29,5,1,condition,CAUSES,recommendation,polyps found,causes,earlier colonoscopy intervals,polyps found causes earlier colonoscopy intervals,CAUSES
