question,answer_detail,answer
"A 50-year-old man comes to the physician because of a 6-month history of difficulties having sexual intercourse due to erectile dysfunction. He has type 2 diabetes mellitus that is well controlled with metformin. He does not smoke. He drinks 5–6 beers daily. His vital signs are within normal limits. Physical examination shows bilateral pedal edema, decreased testicular volume, and increased breast tissue. The spleen is palpable 2 cm below the left costal margin. Abdominal ultrasound shows an atrophic, hyperechoic, nodular liver. An upper endoscopy is performed and shows dilated submucosal veins 2 mm in diameter with red spots on their surface in the distal esophagus. Therapy with a sildenafil is initiated for his erectile dysfunction. Which of the following is the most appropriate next step in management of this patient's esophageal findings?",Nadolol therapy,B
"A 36-year-old woman comes to the physician because of a 12-month history of upper abdominal pain. The pain is worse after eating, which she reports as 7 out of 10 in intensity. Over the last year, she has also had nausea, heartburn, and multiple episodes of diarrhea with no blood or mucus. Eight months ago, she underwent an upper endoscopy, which showed several ulcers in the gastric antrum, the pylorus, and the duodenum, as well as thick gastric folds. The biopsies from these ulcers were negative for H. pylori. Current medications include pantoprazole and over-the-counter antacids. She appears anxious. Vital signs are within normal limits. Cardiopulmonary examination shows no abnormalities. The abdomen is soft and there is tenderness to palpation in the epigastric and umbilical areas. Test of the stool for occult blood is positive. A repeat upper endoscopy shows persistent gastric and duodenal ulceration with minimal bleeding. Which of the following is the most appropriate next step in diagnosis?",Fasting serum gastrin level,D
"A 50-year-old man is brought to the emergency department with progressive retrosternal chest pain and shortness of breath that started the day before. The pain is severe, worsens with inspiration, and radiates to his neck. He has also had a sore throat and neck pain the last 4 days. He remained bed-bound during this time and had poor appetite. One week ago, he underwent an upper endoscopy for peptic ulcer disease. He has type 2 diabetes mellitus, peptic ulcer disease, hyperlipidemia, and hypertension. His only medication is omeprazole. He does not smoke or drink alcohol. He appears in significant distress. His temperature is 39.1°C (102.3°F), pulse is 108/min, respirations are 28/min, and blood pressure is 88/46 mm Hg. The lungs are clear to auscultation. Cardiac examinations shows tachycardia but is otherwise unremarkable. The abdomen is soft and nontender. Oropharyngeal examination is limited because the patient is unable to open his mouth due to pain. His hematocrit is 42%, leukocyte count is 13,800/mm3, and platelet count is 205,000/mm3. The patient is intubated in the emergency department and appropriate treatment is started. Chest x-ray shows a widened mediastinum. Which of the following is most likely to have prevented this patient's condition?",Intravenous ampicillin-sulbactam administration,C
"A 61-year-old man comes to the physician because of a 2-month history of severe chest discomfort. The chest discomfort usually occurs after heavy meals or eating in the late evening and lasts several hours. He has nausea sometimes but no vomiting. He has also had an occasional nighttime cough during this period. He has hypertension and type 2 diabetes mellitus. He has smoked one pack of cigarettes daily for the past 41 years and drinks one beer daily. Current medications include metformin, naproxen, enalapril,and sitagliptin. He is 177 cm (5 ft 10 in) tall and weighs 135 kg (297 lb); BMI is 43 kg/m2. Vital signs are within normal limits. Cardiopulmonary examination shows no abnormalities. The abdomen is soft and nontender. Laboratory studies are within the reference ranges. An ECG shows no abnormalities. An upper endoscopy shows that the Z-line is located 4 cm above the diaphragmatic hiatus and reveals the presence of a 1.5-cm esophageal ulcer with an erythematous base and without bleeding. The physician recommends weight loss as well as smoking and alcohol cessation. Treatment with omeprazole is begun. One month later, his symptoms are unchanged. Which of the following is the most appropriate next step in management?",Laparoscopic Nissen fundoplication with hiatoplasty,C
"A 70-year-old man comes to the physician because of fatigue and intermittent epigastric pain. The symptoms began about one year ago. He describes the pain as diffuse and 3 out of 10 in intensity. Recently, he has had unusually large black stools. He appears pale. His pulse is 72/min and his blood pressure is 110/70 mm Hg. Physical examination shows epigastric tenderness. A urea breath test is positive. Upper gastrointestinal endoscopy reveals an ulcerating mass in the gastric antrum. Biopsies of the mass show diffuse infiltrates of small lymphoid cells that are positive for CD20 antigen. A CT scan of the chest and abdomen shows normal regional lymph nodes. Which of the following is the most appropriate therapy with curative intent at this time?","Amoxicillin, clarithromycin, and omeprazole",F
"A 58-year-old man comes to the physician for the evaluation of intermittent dysphagia for 6 months. He states that he drinks a lot of water during meals to help reduce discomfort he has while swallowing food. He has hypertension and gastroesophageal reflux disease. He has smoked one half-pack of cigarettes daily for 32 years. He does not drink alcohol. Current medications include hydrochlorothiazide and ranitidine. He is 173 cm (5 ft 8 in) tall and weighs 101 kg (222 lb); BMI is 33.7 kg/m2. His temperature is 37°C (98.6°F), pulse is 75/min, and blood pressure is 125/75 mm Hg. The lungs are clear to auscultation. Cardiac examination shows no murmurs, rubs, or gallops. The abdomen is soft and nontender. A barium esophagogram shows complete obstruction at the lower end of the esophagus with an irregular filling defect. An upper endoscopy shows a sliding hiatal hernia and a constricting ring at the gastroesophageal junction. Biopsies from the lesion show squamocolumnar epithelium with no metaplasia. Which of the following is the most appropriate next step in the management of this patient?","Mechanical dilation
""",G
"A 60-year-old woman comes to the physician because of a 2-week history of severe, retrosternal chest pain. She also has pain when swallowing solid food and medications. She has hypertension, type 2 diabetes mellitus, poorly-controlled asthma, and osteoporosis. She was recently admitted to the hospital for an acute asthma exacerbation that was treated with bronchodilators and a 7-day course of oral corticosteroids. Her current medications include aspirin, amlodipine, metformin, insulin, beclomethasone and albuterol inhalers, and alendronate. Vital signs are within normal limits. Examination of the oral pharynx appears normal. The lungs are clear to auscultation. An upper endoscopy shows a single punched-out ulcer with normal surrounding mucosa at the gastroesophageal junction. Biopsies of the ulcer are taken. Which of the following is the most appropriate next step in management?",Discontinue alendronate,B
"A 54-year-old man with alcoholism comes to the emergency department because of vomiting blood for 6 hours. He has had 3–4 episodes in which he has vomited dark red blood during this period. He has had no epigastric pain or tarry stools. On arrival, his temperature is 37.3°C (99.1°F), pulse is 134/min, and blood pressure is 80/50 mm Hg. He is resuscitated with 0.9% saline and undergoes an emergency upper endoscopy, which shows actively bleeding varices. Band ligation of the varices is done and hemostasis is achieved. He is diagnosed with Child class B cirrhosis. He is concerned about the possibility of recurrence of such an episode. He is asked to abstain from alcohol, to which he readily agrees. In addition to non-selective beta-blocker therapy, which of the following is the most appropriate recommendation to prevent future morbidity and mortality from this condition?",Variceal ligation,F
"A 58-year-old man comes to the physician for recurrent heartburn for 12 years. He has also developed a cough for a year, which is worse at night. He has smoked a pack of cigarettes daily for 30 years. His only medication is an over-the-counter antacid. He has not seen a physician for 8 years. He is 175 cm (5 ft 9 in) tall and weighs 95 kg (209 lb); BMI is 31 kg/m2. Vital signs are within normal limits. There is no lymphadenopathy. The abdomen is soft and nontender. The remainder of the examination shows no abnormalities. A complete blood count is within the reference range. An upper endoscopy shows columnar epithelium 2 cm from the gastroesophageal junction. Biopsies from the columnar epithelium show low-grade dysplasia and intestinal metaplasia. Which of the following is the most appropriate next step in management?",Endoscopic therapy,B
"A 49-year-old woman comes to the physician because of difficulty walking and dizziness for the past 2 weeks. She has also had fatigue, heartburn, and diarrhea for 4 months. The stools are foul-smelling and do not flush easily. Over the past 4 months, she has had a 2.2-kg (5-lb) weight loss. Her only medication is an over-the-counter antacid. Her mother has autoimmune thyroid disease and Crohn disease. She is 150 cm (4 ft 11 in) tall and weighs 43 kg (95 lb); BMI is 19.1 kg/m2. Vital signs are within normal limits. Examination shows a wide-based gait. Muscle strength and tone are normal in all extremities. Rapid alternating movement of the hands is impaired. The abdomen is soft and there is mild tenderness to palpation in the epigastric area. Her hemoglobin concentration is 11.1 mg/dL, and levels of vitamin E and vitamin D are decreased. Upper endoscopy shows several ulcers in the gastric antrum and the descending duodenum. Which of the following is the most likely underlying mechanism of this patient's symptoms?",Inactivation of pancreatic enzymes,B
